facility_id,fixture_version,id,equipment_id,point_name,display_name,point_type,data_type,unit,normal_min,normal_max,source_system,description,created_at,updated_at
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-DUTY_AVAILABLE,FAN-EXHAUST-DUTY,AVAILABLE,Duty Exhaust Fan Available,fan_availability,boolean,,,,SYNTHETIC,Observed duty-fan availability,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-DUTY_RUN_STATUS,FAN-EXHAUST-DUTY,RUN_STATUS,Duty Exhaust Fan Run Status,run_status,boolean,,,,SYNTHETIC,Observed duty-fan run feedback,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-DUTY_FAULT_STATUS,FAN-EXHAUST-DUTY,FAULT_STATUS,Duty Exhaust Fan Fault Status,fault_status,boolean,,,,SYNTHETIC,Observed duty-fan fault indication,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-DUTY_SPEED_FEEDBACK,FAN-EXHAUST-DUTY,SPEED_FEEDBACK,Duty Exhaust Fan Speed Feedback,speed_feedback,analog,%,,,SYNTHETIC,Observed duty-fan speed feedback,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-STANDBY_AVAILABLE,FAN-EXHAUST-STANDBY,AVAILABLE,Standby Exhaust Fan Available,fan_availability,boolean,,,,SYNTHETIC,Observed standby-fan availability,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-STANDBY_RUN_STATUS,FAN-EXHAUST-STANDBY,RUN_STATUS,Standby Exhaust Fan Run Status,run_status,boolean,,,,SYNTHETIC,Observed standby-fan run feedback,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-STANDBY_FAULT_STATUS,FAN-EXHAUST-STANDBY,FAULT_STATUS,Standby Exhaust Fan Fault Status,fault_status,boolean,,,,SYNTHETIC,Observed standby-fan fault indication,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,FAN-EXHAUST-STANDBY_SPEED_FEEDBACK,FAN-EXHAUST-STANDBY,SPEED_FEEDBACK,Standby Exhaust Fan Speed Feedback,speed_feedback,analog,%,,,SYNTHETIC,Observed standby-fan speed feedback,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,PROCESS-EXHAUST_AIRFLOW,SENSOR-EXHAUST-AIRFLOW,AIRFLOW,Process Exhaust Airflow,exhaust_airflow,analog,m3/s,,,SYNTHETIC,Observed process-exhaust airflow evidence,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,EXHAUST-SHARED_DUCT_STATIC,SENSOR-EXHAUST-DUCT-STATIC,DUCT_STATIC,Shared Exhaust Duct Static,duct_static,analog,Pa,,,SYNTHETIC,Observed shared-path duct static evidence,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,EXHAUST-SHARED_DAMPER_POSITION,DAMPER-EXHAUST-SHARED,POSITION,Shared Exhaust Damper Position,damper_position,analog,%,,,SYNTHETIC,Observed shared-path damper position,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,TREATMENT_PERMISSIVE_STATUS,MONITOR-TREATMENT,PERMISSIVE,Treatment Permissive,treatment_permissive,boolean,,,,SYNTHETIC,Observed treatment permissive without command authority,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,SUPPLY-MAKEUP_STATUS,MONITOR-SUPPLY-MAKEUP,STATUS,Supply or Makeup Air Status,supply_makeup_status,boolean,,,,SYNTHETIC,Observed supply or makeup-air availability,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,PROCESS-LAB_ZONE_PRESSURE,SENSOR-PRESSURE-PROCESS-LAB,ZONE_PRESSURE,Process Laboratory Zone Pressure,zone_pressure,analog,Pa,,,SYNTHETIC,Observed process-laboratory zone pressure,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,CORRIDOR-TRANSITION_DIFFERENTIAL_PRESSURE,SENSOR-DP-CORRIDOR-TRANSITION,DIFFERENTIAL_PRESSURE,Corridor to Transition Differential Pressure,differential_pressure,analog,Pa,,,SYNTHETIC,Observed differential pressure across the corridor transition boundary,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.0.0,TRANSITION-LAB_DIFFERENTIAL_PRESSURE,SENSOR-DP-TRANSITION-LAB,DIFFERENTIAL_PRESSURE,Transition to Laboratory Differential Pressure,differential_pressure,analog,Pa,,,SYNTHETIC,Observed differential pressure across the transition laboratory boundary,2026-07-20 00:00,2026-07-20 00:00
